#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b>pressure<i>&nbsp;</i></b>should be in <span class=""cloze"" data-cloze=""pascals&#x20;&#x28;Pa&#x29;"" data-ordinal=""1"">[units]</span> when R = <span class=""cloze-inactive"" data-ordinal=""2"">8.31</span> <span class=""cloze"" data-cloze=""J&#x2F;K&#x2E;mol"" data-ordinal=""1"">[units]</span>."	"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b>pressure<i>&nbsp;</i></b>should be in <span class=""cloze"" data-ordinal=""1"">pascals (Pa)</span> when R = <span class=""cloze-inactive"" data-ordinal=""2"">8.31</span> <span class=""cloze"" data-ordinal=""1"">J/K.mol</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""cffcfa717fdd47b3acffc9607afc2f84.png""></div>"
"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b>pressure<i>&nbsp;</i></b>should be in <span class=""cloze-inactive"" data-ordinal=""1"">pascals (Pa)</span> when R = <span class=""cloze"" data-cloze=""8&#x2E;31"" data-ordinal=""2"">[#]</span> <span class=""cloze-inactive"" data-ordinal=""1"">J/K.mol</span>."	"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b>pressure<i>&nbsp;</i></b>should be in <span class=""cloze-inactive"" data-ordinal=""1"">pascals (Pa)</span> when R = <span class=""cloze"" data-ordinal=""2"">8.31</span> <span class=""cloze-inactive"" data-ordinal=""1"">J/K.mol</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""cffcfa717fdd47b3acffc9607afc2f84.png""></div>"
"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b><i>volume&nbsp;</i></b>should be in <span class=""cloze"" data-cloze=""m&lt;sup&gt;3&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[units]</span> when R = <span class=""cloze-inactive"" data-ordinal=""2"">8.31</span> <span class=""cloze"" data-cloze=""J&#x2F;K&#x2E;mol"" data-ordinal=""1"">[units]</span>."	"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b><i>volume&nbsp;</i></b>should be in <span class=""cloze"" data-ordinal=""1"">m<sup>3</sup></span> when R = <span class=""cloze-inactive"" data-ordinal=""2"">8.31</span> <span class=""cloze"" data-ordinal=""1"">J/K.mol</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""cffcfa717fdd47b3acffc9607afc2f84.png""></div>"
"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b><i>volume&nbsp;</i></b>should be in <span class=""cloze-inactive"" data-ordinal=""1"">m<sup>3</sup></span> when R = <span class=""cloze"" data-cloze=""8&#x2E;31"" data-ordinal=""2"">[#]</span> <span class=""cloze-inactive"" data-ordinal=""1"">J/K.mol</span>."	"In the&nbsp;<u>ideal gas equation</u>,&nbsp;<b><i>volume&nbsp;</i></b>should be in <span class=""cloze-inactive"" data-ordinal=""1"">m<sup>3</sup></span> when R = <span class=""cloze"" data-ordinal=""2"">8.31</span> <span class=""cloze-inactive"" data-ordinal=""1"">J/K.mol</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""cffcfa717fdd47b3acffc9607afc2f84.png""></div>"
"Do <i>all </i><b>gas molecules</b> in a container have the <i>exact same</i> <u>kinetic energy</u>?<div><br></div><div><span class=""cloze"" data-cloze=""&lt;b&gt;&lt;u&gt;No&lt;&#x2F;u&gt;&lt;&#x2F;b&gt;&#x2C;&#x20;each&#x20;might&#x20;have&#x20;slightly&#x20;different&#x20;kinetic&#x20;energies&#x2C;&#x20;but&#x20;the&#x20;average&#x20;is&#x20;assumed&#x20;to&#x20;be&#x20;the&#x20;same&#x20;&#x28;by&#x20;definition&#x20;of&#x20;the&#x20;word&#x20;temperature&#x29;&#x2E;"" data-ordinal=""1"">[...]</span><br></div>"	"Do <i>all </i><b>gas molecules</b> in a container have the <i>exact same</i> <u>kinetic energy</u>?<div><br></div><div><span class=""cloze"" data-ordinal=""1""><b><u>No</u></b>, each might have slightly different kinetic energies, but the average is assumed to be the same (by definition of the word temperature).</span><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Temperature is a measure of the <u>average</u> kinetic energy.</div><div><br></div><img src=""97efd705ce50d296ed32bb68cad3f2fb.png""></div>"
"The <b>kinetic theory of gases</b> describes <span class=""cloze"" data-cloze=""ideal"" data-ordinal=""1"">[ideal/real]</span> gases."	"The <b>kinetic theory of gases</b> describes <span class=""cloze"" data-ordinal=""1"">ideal</span> gases.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""paste-39e4e0f6e223da8f793797e6c999dbc52bbbe6ab.jpg""></div>"
"<span class=""cloze"" data-cloze=""Helium"" data-ordinal=""1"">[element]</span> is the <i>closest </i>to being an <b>ideal gas</b>."	"<span class=""cloze"" data-ordinal=""1"">Helium</span> is the <i>closest </i>to being an <b>ideal gas</b>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"In gases, <span class=""cloze"" data-cloze=""&lt;i&gt;higher&lt;&#x2F;i&gt;"" data-ordinal=""1"">[higher/lower]</span>&nbsp;<u>volumes</u> have <span class=""cloze-inactive"" data-ordinal=""2""><i>lower</i></span> <u>pressure</u>."	"In gases, <span class=""cloze"" data-ordinal=""1""><i>higher</i></span>&nbsp;<u>volumes</u> have <span class=""cloze-inactive"" data-ordinal=""2""><i>lower</i></span> <u>pressure</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Volume &amp; pressure are always inversely related</div><div><br></div><img src=""08beb446d46233a83f3d5c0be17c7bd6.png""></div>"
"In gases, <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span>&nbsp;<u>volumes</u> have <span class=""cloze"" data-cloze=""&lt;i&gt;lower&lt;&#x2F;i&gt;"" data-ordinal=""2"">[higher/lower]</span> <u>pressure</u>."	"In gases, <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span>&nbsp;<u>volumes</u> have <span class=""cloze"" data-ordinal=""2""><i>lower</i></span> <u>pressure</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Volume &amp; pressure are always inversely related</div><div><br></div><img src=""08beb446d46233a83f3d5c0be17c7bd6.png""></div>"
"In gases, <span class=""cloze"" data-cloze=""&lt;i&gt;higher&lt;&#x2F;i&gt;"" data-ordinal=""1"">[higher/lower]</span> <u>temperatures</u>&nbsp;result in <span class=""cloze-inactive"" data-ordinal=""2""><i>higher</i></span> <u>volumes</u>."	"In gases, <span class=""cloze"" data-ordinal=""1""><i>higher</i></span> <u>temperatures</u>&nbsp;result in <span class=""cloze-inactive"" data-ordinal=""2""><i>higher</i></span> <u>volumes</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b><u>Charle's law</u></b></div><div>- ↑temperature causes gas molecules to bounce around more and increase the ""size"" of the gas (↑volume). Think of <b><u>thermometers</u></b>.</div><div><br></div><div><div><img src=""fcc31c63994906d0c57a292eafc989c6.png""><br></div><div><br></div><img src=""9a8d34360113b555042092dc38e5dd40.png""><br></div><div><br></div><div><img src=""paste-a52a9e49e53dd2a5520a1aeb2e8606147ad76db3.jpg""><br></div></div>"
"In gases, <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span> <u>temperatures</u>&nbsp;result in <span class=""cloze"" data-cloze=""&lt;i&gt;higher&lt;&#x2F;i&gt;"" data-ordinal=""2"">[higher/lower]</span> <u>volumes</u>."	"In gases, <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span> <u>temperatures</u>&nbsp;result in <span class=""cloze"" data-ordinal=""2""><i>higher</i></span> <u>volumes</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b><u>Charle's law</u></b></div><div>- ↑temperature causes gas molecules to bounce around more and increase the ""size"" of the gas (↑volume). Think of <b><u>thermometers</u></b>.</div><div><br></div><div><div><img src=""fcc31c63994906d0c57a292eafc989c6.png""><br></div><div><br></div><img src=""9a8d34360113b555042092dc38e5dd40.png""><br></div><div><br></div><div><img src=""paste-a52a9e49e53dd2a5520a1aeb2e8606147ad76db3.jpg""><br></div></div>"
"In gases, <span class=""cloze"" data-cloze=""&lt;i&gt;more&lt;&#x2F;i&gt;"" data-ordinal=""1"">[more/less]</span> <u>moles</u>&nbsp;of gas molecules result in <span class=""cloze-inactive"" data-ordinal=""2""><i>higher</i></span> <u>volumes</u>."	"In gases, <span class=""cloze"" data-ordinal=""1""><i>more</i></span> <u>moles</u>&nbsp;of gas molecules result in <span class=""cloze-inactive"" data-ordinal=""2""><i>higher</i></span> <u>volumes</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>More collisions to cause the gas to expand (↑volume).</div><div><br></div><img src=""08beb446d46233a83f3d5c0be17c7bd6.png""></div>"
"In gases, <span class=""cloze-inactive"" data-ordinal=""1""><i>more</i></span> <u>moles</u>&nbsp;of gas molecules result in <span class=""cloze"" data-cloze=""&lt;i&gt;higher&lt;&#x2F;i&gt;"" data-ordinal=""2"">[higher/lower]</span> <u>volumes</u>."	"In gases, <span class=""cloze-inactive"" data-ordinal=""1""><i>more</i></span> <u>moles</u>&nbsp;of gas molecules result in <span class=""cloze"" data-ordinal=""2""><i>higher</i></span> <u>volumes</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>More collisions to cause the gas to expand (↑volume).</div><div><br></div><img src=""08beb446d46233a83f3d5c0be17c7bd6.png""></div>"
"Gases behave <span class=""cloze-inactive"" data-ordinal=""2""><i>more</i></span> like <u>ideal gases</u> when <b>volume</b> <span class=""cloze"" data-cloze=""&lt;i&gt;increases&lt;&#x2F;i&gt;"" data-ordinal=""1"">[increases/decreased]</span>."	"Gases behave <span class=""cloze-inactive"" data-ordinal=""2""><i>more</i></span> like <u>ideal gases</u> when <b>volume</b> <span class=""cloze"" data-ordinal=""1""><i>increases</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

Gives them <u>more room to spread out</u>... less likely to collide.</div>"
"Gases behave <span class=""cloze"" data-cloze=""&lt;i&gt;more&lt;&#x2F;i&gt;"" data-ordinal=""2"">[more/less]</span> like <u>ideal gases</u> when <b>volume</b> <span class=""cloze-inactive"" data-ordinal=""1""><i>increases</i></span>."	"Gases behave <span class=""cloze"" data-ordinal=""2""><i>more</i></span> like <u>ideal gases</u> when <b>volume</b> <span class=""cloze-inactive"" data-ordinal=""1""><i>increases</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

Gives them <u>more room to spread out</u>... less likely to collide.</div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>STP conditions</b></span>&nbsp;used in the <u>ideal gas law</u>:<div><br></div><div>Pressure = <span class=""cloze"" data-cloze=""1&#x20;atm"" data-ordinal=""1"">[...]</span></div><div>Temperature = <span class=""cloze"" data-cloze=""273&#x20;K&#x20;&#x28;0&#xB0;C&#x29;"" data-ordinal=""1"">[...]</span></div>"	"<span class=""cloze-inactive"" data-ordinal=""2""><b>STP conditions</b></span>&nbsp;used in the <u>ideal gas law</u>:<div><br></div><div>Pressure = <span class=""cloze"" data-ordinal=""1"">1 atm</span></div><div>Temperature = <span class=""cloze"" data-ordinal=""1"">273 K (0°C)</span></div>
<hr>

<div style=""font-style:italic;color:gray;"">

These STP conditions are standardized because the system's final equilibrium will be different depending on what the pressure or temperature is.</div>"
"The <b><u>ideal gas law</u></b> equation (<b>PV=nRT</b>) describes both the <u style="""">properties</u> of a <i>single </i>gas &amp; its <span class=""cloze"" data-cloze=""&lt;u&gt;before&#x2D;and&#x2D;after&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span> case when variables get changed."	"The <b><u>ideal gas law</u></b> equation (<b>PV=nRT</b>) describes both the <u style="""">properties</u> of a <i>single </i>gas &amp; its <span class=""cloze"" data-ordinal=""1""><u>before-and-after</u></span> case when variables get changed.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""bc995caf5fca42d5476d23de51be46fe.png""><b><u><br></u></b></div><b><u><div><b><u><br></u></b></div>Properties of the <i>single </i>gas</u></b>...<div>- ""What's the volume of a gas with __ pressure at __ temperature?"" (use PV = nRT).<br></div><div><br></div><div><b><u><i>Before-and-after</i> case</u></b>...</div><div>- ""If a gas occupies __ mL at STP, what's its volume when temperature is <u>changed</u> to __?"" (use above image).</div></div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">Real</span> gases exert <span class=""cloze"" data-cloze=""&lt;u&gt;&lt;i&gt;lower&lt;&#x2F;i&gt;&lt;&#x2F;u&gt;"" data-ordinal=""1"">[higher/lower]</span> <b>pressures </b>on the container's walls&nbsp;than <span class=""cloze-inactive"" data-ordinal=""2"">ideal</span> gases."	"<span class=""cloze-inactive"" data-ordinal=""2"">Real</span> gases exert <span class=""cloze"" data-ordinal=""1""><u><i>lower</i></u></span> <b>pressures </b>on the container's walls&nbsp;than <span class=""cloze-inactive"" data-ordinal=""2"">ideal</span> gases.
<hr>

<div style=""font-style:italic;color:gray;"">

-&nbsp;<b>Intermolecular forces</b> between real gases will cause them to be <u>attracted more</u> to each other and <u>collide less</u> with the wall.<div><br></div><div><img src=""b3c4aea491e23b2221ce7e4dc88018a6.png""><br><div><br></div><div><img src=""68mG7d1JvjhhPv8sMLG6kD6vq49xhDMFtulIWJUqMn1SBXsMbtBu6AwSmYGF47SpPjooz6QPCyWuYTqcglplwRKpYQ.png""><br></div></div></div>"
"<span class=""cloze"" data-cloze=""Real"" data-ordinal=""2"">[real/ideal]</span> gases exert <span class=""cloze-inactive"" data-ordinal=""1""><u><i>lower</i></u></span> <b>pressures </b>on the container's walls&nbsp;than <span class=""cloze"" data-cloze=""ideal"" data-ordinal=""2"">[real/ideal]</span> gases."	"<span class=""cloze"" data-ordinal=""2"">Real</span> gases exert <span class=""cloze-inactive"" data-ordinal=""1""><u><i>lower</i></u></span> <b>pressures </b>on the container's walls&nbsp;than <span class=""cloze"" data-ordinal=""2"">ideal</span> gases.
<hr>

<div style=""font-style:italic;color:gray;"">

-&nbsp;<b>Intermolecular forces</b> between real gases will cause them to be <u>attracted more</u> to each other and <u>collide less</u> with the wall.<div><br></div><div><img src=""b3c4aea491e23b2221ce7e4dc88018a6.png""><br><div><br></div><div><img src=""68mG7d1JvjhhPv8sMLG6kD6vq49xhDMFtulIWJUqMn1SBXsMbtBu6AwSmYGF47SpPjooz6QPCyWuYTqcglplwRKpYQ.png""><br></div></div></div>"
"Real gases exert <span class=""cloze-inactive"" data-ordinal=""3""><i>lower</i></span>&nbsp;<span class=""cloze-inactive"" data-ordinal=""2""><b>pressures</b></span> on the container walls<b>&nbsp;</b>than ideal gases due to their<i>&nbsp;</i><span class=""cloze"" data-cloze=""&lt;i&gt;slight&amp;nbsp&#x3B;&lt;&#x2F;i&gt;intermolecular&#x20;forces"" data-ordinal=""1"">[...]</span>."	"Real gases exert <span class=""cloze-inactive"" data-ordinal=""3""><i>lower</i></span>&nbsp;<span class=""cloze-inactive"" data-ordinal=""2""><b>pressures</b></span> on the container walls<b>&nbsp;</b>than ideal gases due to their<i>&nbsp;</i><span class=""cloze"" data-ordinal=""1""><i>slight&nbsp;</i>intermolecular forces</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<b>Intermolecular forces</b> between real gases will cause them to be <u>attracted more</u> to each other and <u>collide less</u> with the wall.<div><br></div><div><img src=""68mG7d1JvjhhPv8sMLG6kD6vq49xhDMFtulIWJUqMn1SBXsMbtBu6AwSmYGF47SpPjooz6QPCyWuYTqcglplwRKpYQ.png""><br></div></div>"
"Real gases exert <span class=""cloze-inactive"" data-ordinal=""3""><i>lower</i></span>&nbsp;<span class=""cloze"" data-cloze=""&lt;b&gt;pressures&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> on the container walls<b>&nbsp;</b>than ideal gases due to their<i>&nbsp;</i><span class=""cloze-inactive"" data-ordinal=""1""><i>slight&nbsp;</i>intermolecular forces</span>."	"Real gases exert <span class=""cloze-inactive"" data-ordinal=""3""><i>lower</i></span>&nbsp;<span class=""cloze"" data-ordinal=""2""><b>pressures</b></span> on the container walls<b>&nbsp;</b>than ideal gases due to their<i>&nbsp;</i><span class=""cloze-inactive"" data-ordinal=""1""><i>slight&nbsp;</i>intermolecular forces</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<b>Intermolecular forces</b> between real gases will cause them to be <u>attracted more</u> to each other and <u>collide less</u> with the wall.<div><br></div><div><img src=""68mG7d1JvjhhPv8sMLG6kD6vq49xhDMFtulIWJUqMn1SBXsMbtBu6AwSmYGF47SpPjooz6QPCyWuYTqcglplwRKpYQ.png""><br></div></div>"
"<div>Equation that relates <u>ideal</u>&nbsp;gas <span class=""cloze"" data-cloze=""&lt;b&gt;pressure&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span><b>&nbsp;</b><i>vs.</i> <u>real</u>&nbsp;gas&nbsp;<span class=""cloze"" data-cloze=""&lt;b&gt;pressure&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span>:</div><div><br></div><div>'<b>a</b>' is the <span class=""cloze-inactive"" data-ordinal=""2""><i>attraction</i></span> coefficient between the gas molecules (negative when particles repel).</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""3""><img src=""b3c4aea491e23b2221ce7e4dc88018a6.png""></span><br>"	"<div>Equation that relates <u>ideal</u>&nbsp;gas <span class=""cloze"" data-ordinal=""1""><b>pressure</b></span><b>&nbsp;</b><i>vs.</i> <u>real</u>&nbsp;gas&nbsp;<span class=""cloze"" data-ordinal=""1""><b>pressure</b></span>:</div><div><br></div><div>'<b>a</b>' is the <span class=""cloze-inactive"" data-ordinal=""2""><i>attraction</i></span> coefficient between the gas molecules (negative when particles repel).</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""3""><img src=""b3c4aea491e23b2221ce7e4dc88018a6.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<div>Equation that relates <u>ideal</u>&nbsp;gas <span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span><b>&nbsp;</b><i>vs.</i> <u>real</u>&nbsp;gas&nbsp;<span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span>:</div><div><br></div><div>'<b>a</b>' is the <span class=""cloze"" data-cloze=""&lt;i&gt;attraction&lt;&#x2F;i&gt;"" data-ordinal=""2"">[...]</span> coefficient between the gas molecules (negative when particles repel).</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""3""><img src=""b3c4aea491e23b2221ce7e4dc88018a6.png""></span><br>"	"<div>Equation that relates <u>ideal</u>&nbsp;gas <span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span><b>&nbsp;</b><i>vs.</i> <u>real</u>&nbsp;gas&nbsp;<span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span>:</div><div><br></div><div>'<b>a</b>' is the <span class=""cloze"" data-ordinal=""2""><i>attraction</i></span> coefficient between the gas molecules (negative when particles repel).</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""3""><img src=""b3c4aea491e23b2221ce7e4dc88018a6.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<div>Equation that relates <u>ideal</u>&nbsp;gas <span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span><b>&nbsp;</b><i>vs.</i> <u>real</u>&nbsp;gas&nbsp;<span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span>:</div><div><br></div><div>'<b>a</b>' is the <span class=""cloze-inactive"" data-ordinal=""2""><i>attraction</i></span> coefficient between the gas molecules (negative when particles repel).</div><div><br></div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;b3c4aea491e23b2221ce7e4dc88018a6&#x2E;png&quot;&gt;"" data-ordinal=""3"">[...]</span><br>"	"<div>Equation that relates <u>ideal</u>&nbsp;gas <span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span><b>&nbsp;</b><i>vs.</i> <u>real</u>&nbsp;gas&nbsp;<span class=""cloze-inactive"" data-ordinal=""1""><b>pressure</b></span>:</div><div><br></div><div>'<b>a</b>' is the <span class=""cloze-inactive"" data-ordinal=""2""><i>attraction</i></span> coefficient between the gas molecules (negative when particles repel).</div><div><br></div><span class=""cloze"" data-ordinal=""3""><img src=""b3c4aea491e23b2221ce7e4dc88018a6.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"When the <b>pressure </b>of a(n) <span class=""cloze-inactive"" data-ordinal=""2"">ideal</span> gas is <i>halved</i>, its <b>volume </b>will <span class=""cloze"" data-cloze=""&lt;u&gt;double&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span>."	"When the <b>pressure </b>of a(n) <span class=""cloze-inactive"" data-ordinal=""2"">ideal</span> gas is <i>halved</i>, its <b>volume </b>will <span class=""cloze"" data-ordinal=""1""><u>double</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""699c01e9dc507b4979fb5bdd8c44a397.png""></div>"
"When the <b>pressure </b>of a(n) <span class=""cloze"" data-cloze=""ideal"" data-ordinal=""2"">[real/ideal]</span> gas is <i>halved</i>, its <b>volume </b>will <span class=""cloze-inactive"" data-ordinal=""1""><u>double</u></span>."	"When the <b>pressure </b>of a(n) <span class=""cloze"" data-ordinal=""2"">ideal</span> gas is <i>halved</i>, its <b>volume </b>will <span class=""cloze-inactive"" data-ordinal=""1""><u>double</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""699c01e9dc507b4979fb5bdd8c44a397.png""></div>"
"When the&nbsp;<b>pressure&nbsp;</b>of a(n) <span class=""cloze-inactive"" data-ordinal=""2"">real</span> gas is&nbsp;<i>halved</i>, its&nbsp;<b>volume </b>will&nbsp;be&nbsp;<span class=""cloze"" data-cloze=""slightly&amp;nbsp&#x3B;&lt;i&gt;less&lt;&#x2F;i&gt;&amp;nbsp&#x3B;than&amp;nbsp&#x3B;&lt;u&gt;double&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span>."	"When the&nbsp;<b>pressure&nbsp;</b>of a(n) <span class=""cloze-inactive"" data-ordinal=""2"">real</span> gas is&nbsp;<i>halved</i>, its&nbsp;<b>volume </b>will&nbsp;be&nbsp;<span class=""cloze"" data-ordinal=""1"">slightly&nbsp;<i>less</i>&nbsp;than&nbsp;<u>double</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Slightly less because the volume of the gas molecules are still the same size. V<sub>gas</sub> = V<sub>container</sub> - V<sub>gas mol.</sub>. Real gas molecules have volumes, whereas ideal gas molecules do not.</div><div><br></div><img src=""699c01e9dc507b4979fb5bdd8c44a397.png""></div>"
"When the&nbsp;<b>pressure&nbsp;</b>of a(n) <span class=""cloze"" data-cloze=""real"" data-ordinal=""2"">[real/ideal]</span> gas is&nbsp;<i>halved</i>, its&nbsp;<b>volume </b>will&nbsp;be&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">slightly&nbsp;<i>less</i>&nbsp;than&nbsp;<u>double</u></span>."	"When the&nbsp;<b>pressure&nbsp;</b>of a(n) <span class=""cloze"" data-ordinal=""2"">real</span> gas is&nbsp;<i>halved</i>, its&nbsp;<b>volume </b>will&nbsp;be&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">slightly&nbsp;<i>less</i>&nbsp;than&nbsp;<u>double</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Slightly less because the volume of the gas molecules are still the same size. V<sub>gas</sub> = V<sub>container</sub> - V<sub>gas mol.</sub>. Real gas molecules have volumes, whereas ideal gas molecules do not.</div><div><br></div><img src=""699c01e9dc507b4979fb5bdd8c44a397.png""></div>"
"<div>Use <i>this </i>form of the <b><u>ideal gas law</u></b> when comparing the <span class=""cloze"" data-cloze=""&lt;i&gt;before&#x2D;and&#x2D;after&lt;&#x2F;i&gt;"" data-ordinal=""1"">[...]</span> case relationship of a <i>single </i>gas:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""bc995caf5fca42d5476d23de51be46fe.png""></span><br>"	"<div>Use <i>this </i>form of the <b><u>ideal gas law</u></b> when comparing the <span class=""cloze"" data-ordinal=""1""><i>before-and-after</i></span> case relationship of a <i>single </i>gas:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""bc995caf5fca42d5476d23de51be46fe.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

In both before &amp; after cases, R is constant. Therefore, setting both expressions in terms of R allows you to set them equal to each other.</div>"
"<div>Use <i>this </i>form of the <b><u>ideal gas law</u></b> when comparing the <span class=""cloze-inactive"" data-ordinal=""1""><i>before-and-after</i></span> case relationship of a <i>single </i>gas:</div><div><br></div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;bc995caf5fca42d5476d23de51be46fe&#x2E;png&quot;&gt;"" data-ordinal=""2"">[...]</span><br>"	"<div>Use <i>this </i>form of the <b><u>ideal gas law</u></b> when comparing the <span class=""cloze-inactive"" data-ordinal=""1""><i>before-and-after</i></span> case relationship of a <i>single </i>gas:</div><div><br></div><span class=""cloze"" data-ordinal=""2""><img src=""bc995caf5fca42d5476d23de51be46fe.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

In both before &amp; after cases, R is constant. Therefore, setting both expressions in terms of R allows you to set them equal to each other.</div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Avogadro&#x27;s&#x20;law&lt;&#x2F;b&gt;"" data-ordinal=""1"">[law]</span>'s says that <span class=""cloze-inactive"" data-ordinal=""4""><i style="""">increasing</i></span><i>&nbsp;</i>the <span class=""cloze-inactive"" data-ordinal=""2""><u>moles</u></span> of a gas will <span class=""cloze-inactive"" data-ordinal=""3""><i style="""">increase</i></span> its <span class=""cloze-inactive"" data-ordinal=""2""><u>volume</u></span>."	"<span class=""cloze"" data-ordinal=""1""><b>Avogadro's law</b></span>'s says that <span class=""cloze-inactive"" data-ordinal=""4""><i style="""">increasing</i></span><i>&nbsp;</i>the <span class=""cloze-inactive"" data-ordinal=""2""><u>moles</u></span> of a gas will <span class=""cloze-inactive"" data-ordinal=""3""><i style="""">increase</i></span> its <span class=""cloze-inactive"" data-ordinal=""2""><u>volume</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Putting more gas molecules (↑moles) in a container will make it expand (↑volume) due to a higher number of collisions against the wall.</div><div><br></div><div><img src=""22f9304ddf40288ceb19715f05dd80d0.png""><br></div><div><br></div><img src=""6e0e5e6ac8b8bef83895bc2a34d5d702.png""></div>"
